facility_id,country,region,facility_name,operator,terminal_type,status,sendout_bcm_y,sendout_mtpa,storage_m3,start_date,reload_capable,source,last_updated,notes
ES-SAGUNTO,Spain,Europe,Sagunto,Saggas/Enagás,onshore,operational,8.8,6.5,600000,2006-04-01,yes,Enagás,2026-06-01,
ES-MUGARDOS,Spain,Europe,Mugardos,Reganosa,onshore,operational,3.6,2.6,300000,2007-06-01,yes,Reganosa,2026-06-01,Galicia
ES-BILBAO,Spain,Europe,Bilbao (Bahía de Bizkaia),BBG,onshore,operational,7.0,5.1,300000,2003-08-01,yes,BBG,2026-06-01,
ES-HUELVA,Spain,Europe,Huelva,Enagás,onshore,operational,11.8,8.7,610000,1988-08-01,yes,Enagás,2026-06-01,
ES-ELMUSEL,Spain,Europe,El Musel,Enagás,onshore,operational,8.0,5.9,300000,2023-03-30,yes,Enagás,2026-06-01,Activated 2023 after years dormant; storage hub
FR-MONTOIR,France,Europe,Montoir-de-Bretagne,Elengy,onshore,operational,10.0,7.4,360000,1980-03-01,yes,Elengy,2026-06-01,
FR-FOSCAVAOU,France,Europe,Fos Cavaou,Elengy/TotalEnergies,onshore,operational,8.3,6.1,330000,2010-03-01,yes,Elengy,2026-06-01,
FR-FOSTONKIN,France,Europe,Fos Tonkin,Elengy,onshore,operational,3.0,2.2,80000,1972-06-01,no,Elengy,2026-06-01,
FR-DUNKIRK,France,Europe,Dunkirk LNG,Dunkerque LNG (Fluxys/Total),onshore,operational,13.0,9.6,570000,2017-01-01,yes,Dunkerque LNG,2026-06-01,
NL-GATE,Netherlands,Europe,Gate Rotterdam,Vopak/Gasunie,onshore,operational,16.0,11.8,540000,2011-09-01,yes,Gate Terminal,2026-06-01,Expansion to 20+ bcm/y in progress
NL-EEMSHAVEN-FSRU,Netherlands,Europe,Eemshaven LNG (EemsEnergy),Gasunie/Vopak,FSRU,operational,8.0,5.9,170000,2022-09-15,yes,Gasunie,2026-06-01,2 FSRUs; built in 6 months in response to 2022 crisis
DE-WILHELMSHAVEN-FSRU,Germany,Europe,Wilhelmshaven 1 FSRU,DET/Uniper,FSRU,operational,7.5,5.5,170000,2022-12-21,no,Uniper/DET,2026-06-01,Germany's first LNG terminal
DE-BRUNSBUTTEL-FSRU,Germany,Europe,Brunsbüttel FSRU,DET/RWE,FSRU,operational,3.5,2.6,170000,2023-01-20,no,DET,2026-06-01,
DE-MUKRAN-FSRU,Germany,Europe,Mukran FSRU,DET/Deutsche ReGas,FSRU,operational,5.2,3.8,340000,2024-03-15,no,DET,2026-06-01,2 FSRUs at Rügen
DE-STADE-ONSHORE,Germany,Europe,Stade,Hanseatic Energy Hub,onshore,construction,13.3,9.8,260000,2027-06-30,yes,HEH,2026-06-01,Replaces FSRU(s) when COD
HR-KRK,Croatia,Europe,LNG Croatia (Krk),LNG Hrvatska,FSRU,operational,6.1,4.5,140000,2021-01-01,no,LNG Hrvatska,2026-06-01,Expanding to 8.4 BCm/y
PL-SWINOUJSCIE,Poland,Europe,Świnoujście,Gaz-System,onshore,operational,8.3,6.1,320000,2015-12-12,yes,Gaz-System,2026-06-01,Expansion to ~10 BCm/y
LT-KLAIPEDA,Lithuania,Europe,Klaipėda FSRU (Independence),KN Energies,FSRU,operational,4.0,2.9,170000,2014-10-27,no,KN Energies,2026-06-01,Baltic strategic terminal
IT-PIOMBINO-FSRU,Italy,Europe,Piombino FSRU (Italis LNG),Snam,FSRU,operational,5.0,3.7,170000,2023-05-17,no,Snam,2026-06-01,Will relocate to Ravenna 2026
IT-PANIGAGLIA,Italy,Europe,Panigaglia,Snam,onshore,operational,3.4,2.5,100000,1971-01-01,no,Snam,2026-06-01,
IT-ROVIGO,Italy,Europe,Adriatic LNG (Rovigo),ExxonMobil/QatarEnergy/Snam,onshore,operational,9.0,6.6,250000,2009-10-01,yes,Adriatic LNG,2026-06-01,Offshore GBS
GR-REVITHOUSSA,Greece,Europe,Revithoussa,DESFA,onshore,operational,7.0,5.1,225000,2000-02-01,yes,DESFA,2026-06-01,
GR-ALEXANDROUPOLIS,Greece,Europe,Alexandroupolis FSRU,Gastrade,FSRU,operational,5.5,4.0,170000,2024-10-01,no,Gastrade,2026-06-01,Strategic for Balkans
BE-ZEEBRUGGE,Belgium,Europe,Zeebrugge,Fluxys,onshore,operational,9.0,6.6,380000,1987-03-01,yes,Fluxys,2026-06-01,
TR-DORTYOL-FSRU,Türkiye,Europe,Dörtyol FSRU,BOTAS,FSRU,operational,7.4,5.4,170000,2018-02-01,no,BOTAS,2026-06-01,
TR-MARMARAEREGLISI,Türkiye,Europe,Marmara Ereğlisi,BOTAS,onshore,operational,8.2,6.0,255000,1994-01-01,no,BOTAS,2026-06-01,
TW-YUNGAN,Taiwan,East Asia,Yung-An,CPC Corporation,onshore,operational,10.5,7.7,690000,1990-03-01,yes,CPC,2026-06-01,
TW-TAICHUNG,Taiwan,East Asia,Taichung,CPC Corporation,onshore,operational,13.5,9.9,720000,2009-03-01,yes,CPC,2026-06-01,
SG-SLNG,Singapore,SE Asia,Singapore LNG Terminal,SLNG Corp,onshore,operational,9.0,6.6,800000,2013-05-07,yes,SLNG,2026-06-01,Expansion to 11+ BCm/y
PK-PORT-QASIM,Pakistan,South Asia,Port Qasim FSRU (Engro),Engro Elengy/ETPL,FSRU,operational,5.5,4.0,170000,2015-03-28,no,Engro,2026-06-01,
PK-PAKISTAN-GASPORT,Pakistan,South Asia,Pakistan GasPort FSRU,PGPL,FSRU,operational,5.5,4.0,170000,2018-01-15,no,PGPL,2026-06-01,
MX-MANZANILLO,Mexico,North America,Manzanillo,KMS LNG (Mitsui/Samsung/KOGAS),onshore,operational,4.4,3.2,300000,2012-03-01,no,KMS,2026-06-01,
BR-GUANABARA,Brazil,Latin America,Guanabara Bay FSRU,Petrobras,FSRU,operational,11.0,8.1,170000,2014-01-01,no,Petrobras,2026-06-01,Replaced original FSRU
BR-PECEM,Brazil,Latin America,Pecem FSRU,Petrobras,FSRU,operational,7.0,5.1,170000,2008-12-01,no,Petrobras,2026-06-01,Ceará
AR-ESCOBAR,Argentina,Latin America,Escobar FSRU,Excelerate/Enarsa,FSRU,operational,11.0,8.1,150000,2011-06-01,no,Excelerate,2026-06-01,Seasonal high winter use
